idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,1,22.96,0,22.96,0,1,20
2,2,0,2,12.94,0,12.94,0,1,20
3,2,0,1,12.02,0,12.02,0,1,20
4,5,0,0,19.57,0,19.57,0,1,20
5,2,0,0,12.56,0,12.56,0,0,20
6,1,0,0,16.81,0,16.81,0,0,20
7,6,0,0,22.22,0,22.22,0,1,20
8,4,0,0,19.42,0,19.42,1,0,20
9,3,0,0,13.91,0,13.91,2,0,20
10,5,0,2,23.55,0,23.55,3,0,20
11,6,0,1,22.98,0,22.98,4,0,20
12,1,0,1,9.39,0,9.39,5,0,20
13,1,0,2,20.68,0,20.68,6,0,20
14,1,0,3,21.01,0,21.01,7,0,20
15,6,0,2,21.84,0,21.84,8,0,20
16,4,0,1,19.06,0,19.06,9,0,20
17,3,0,1,15.26,0,15.26,10,0,20
18,2,0,3,13.86,0,13.86,11,0,20
19,3,0,2,9.3,0,9.3,12,0,20
20,3,0,3,11.93,0,11.93,13,0,20
