idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,23.3,0,23.3,0,0,20
2,6,0,1,7.61,0,7.61,0,0,20
3,4,0,0,13.24,0,13.24,0,0,20
4,6,0,2,16.84,0,16.84,0,0,20
5,5,0,0,19.99,0,19.99,0,0,20
6,5,0,3,11.11,0,11.11,0,1,20
7,5,0,1,17.46,0,17.46,0,0,20
8,6,0,3,16.71,0,16.71,0,0,20
9,4,0,1,12.28,0,12.28,0,0,20
10,5,0,2,9.61,0,9.61,0,0,20
11,6,0,4,22.03,0,22.03,1,0,20
12,1,0,0,8.3,0,8.3,2,0,20
13,4,0,2,14.28,0,14.28,3,0,20
14,1,0,1,8.51,0,8.51,4,0,20
15,4,0,3,20.6,0,20.6,5,0,20
16,2,0,0,10.96,0,10.96,6,0,20
17,1,0,2,8.76,0,8.76,7,0,20
18,5,0,4,19.46,0,19.46,8,0,20
19,2,0,1,15.92,0,15.92,9,0,20
20,2,0,2,16.21,0,16.21,10,0,20
21,3,0,0,8.11,0,8.11,11,0,20
22,4,0,4,20.63,0,20.63,12,0,20
23,3,0,1,7.17,0,7.17,13,0,20
24,2,0,3,18.78,0,18.78,14,0,20
25,2,0,4,19.27,0,19.27,15,0,20
