idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,1,9.91,0,9.91,0,1,20
2,5,0,0,16.63,0,16.63,0,0,20
3,1,0,0,16.15,0,16.15,0,0,20
4,6,0,0,23.2,0,23.2,0,1,20
5,2,0,0,9.5,0,9.5,0,0,20
6,4,0,0,18.91,0,18.91,1,0,20
7,1,0,1,15.83,0,15.83,2,0,20
8,2,0,2,12.41,0,12.41,3,0,20
9,4,0,1,20.84,0,20.84,4,0,20
10,3,0,0,11.16,0,11.16,5,0,20
11,3,0,1,10.66,0,10.66,6,0,20
12,3,0,2,10.69,0,10.69,7,0,20
12,5,0,2,10.69,0,10.69,7,0,20
13,4,0,2,23.11,0,23.11,8,0,20
14,2,0,3,11.35,0,11.35,9,0,20
15,3,0,3,14.24,0,14.24,10,0,20
16,5,0,1,9.33,0,9.33,11,0,20
17,3,0,4,20.61,0,20.61,12,0,20
19,6,0,1,19.3,0,19.3,14,0,20
20,6,0,2,18.13,0,18.13,15,0,20
