idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,2,9.77,0,9.77,0,1,20
2,4,0,3,15.22,0,15.22,0,1,20
3,4,0,1,7.78,0,7.78,0,1,20
4,4,0,0,7.17,0,7.17,0,0,20
5,4,0,4,21.53,0,21.53,0,1,20
6,1,0,0,15.19,0,15.19,1,0,20
7,2,0,0,11.04,0,11.04,2,0,20
8,1,0,1,17.14,0,17.14,3,0,20
9,2,0,1,11.52,0,11.52,4,0,20
10,3,0,0,10.27,0,10.27,5,0,20
11,2,0,2,12.03,0,12.03,6,0,20
12,1,0,2,17.98,0,17.98,7,0,20
13,2,0,3,17.95,0,17.95,8,0,20
14,1,0,3,23.45,0,23.45,9,0,20
15,2,0,4,23.36,0,23.36,10,0,20
16,5,0,0,8.39,0,8.39,11,0,20
17,3,0,1,18.95,0,18.95,12,0,20
18,5,0,1,12.28,0,12.28,13,0,20
19,6,0,0,7.51,0,7.51,14,0,20
20,6,0,1,9.34,0,9.34,15,0,20
21,3,0,2,22.92,0,22.92,16,0,20
22,1,0,4,23.8,0,23.8,17,0,20
23,6,0,2,7.76,0,7.76,18,0,20
