idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,3,17.59,0,17.59,0,1,20
2,3,0,3,11.79,0,11.79,0,1,20
3,2,0,4,18.21,0,18.21,0,1,20
4,2,0,0,20.62,0,20.62,0,0,20
5,3,0,4,11.81,0,11.81,0,1,20
6,2,0,2,14.06,0,14.06,0,1,20
7,3,0,2,7.91,0,7.91,0,1,20
8,3,0,1,6.46,0,6.46,0,1,20
9,2,0,1,12.87,0,12.87,0,0,20
10,3,0,0,5.99,0,5.99,0,1,20
11,1,0,0,11.78,0,11.78,1,0,20
12,4,0,0,5.79,0,5.79,2,0,20
13,1,0,1,13.7,0,13.7,3,0,20
14,4,0,1,9.76,0,9.76,4,0,20
15,4,0,2,12.04,0,12.04,5,0,20
16,5,0,0,9.8,0,9.8,6,0,20
17,4,0,3,13.51,0,13.51,7,0,20
18,1,0,2,17.43,0,17.43,8,0,20
19,5,0,1,13.31,0,13.31,9,0,20
20,1,0,3,22.45,0,22.45,10,0,20
21,4,0,4,21.2,0,21.2,11,0,20
22,6,0,0,6.42,0,6.42,12,0,20
23,5,0,2,16.81,0,16.81,13,0,20
