idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,10.11,0,10.11,0,0,20
2,6,0,0,8.65,0,8.65,0,0,20
3,4,0,1,12.51,0,12.51,0,0,20
4,4,0,2,15.37,0,15.37,0,1,20
5,4,0,3,20.82,0,20.82,0,1,20
6,6,0,1,15.6,0,15.6,1,0,20
7,1,0,0,12.7,0,12.7,2,0,20
8,2,0,0,5.31,0,5.31,3,0,20
9,1,0,1,19.48,0,19.48,4,0,20
10,2,0,1,10.08,0,10.08,5,0,20
11,2,0,2,12.73,0,12.73,6,0,20
12,3,0,0,10.17,0,10.17,7,0,20
13,3,0,1,10.7,0,10.7,8,0,20
14,1,0,2,19.58,0,19.58,9,0,20
15,2,0,3,18.01,0,18.01,10,0,20
16,3,0,2,13.08,0,13.08,11,0,20
17,5,0,0,7.76,0,7.76,12,0,20
18,5,0,1,6.48,0,6.48,13,0,20
19,5,0,2,12.35,0,12.35,14,0,20
20,5,0,3,7.77,0,7.77,15,0,20
21,6,0,2,17.29,0,17.29,16,0,20
22,3,0,3,17.21,0,17.21,17,0,20
23,2,0,4,19.16,0,19.16,18,0,20
24,6,0,3,17.62,0,17.62,19,0,20
25,5,0,4,9.66,0,9.66,20,0,20
