idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,7.18,0,7.18,1,0,20
2,2,0,0,5.67,0,5.67,2,0,20
3,1,0,1,11.66,0,11.66,3,0,20
4,1,0,2,14.57,0,14.57,4,0,20
5,2,0,1,18.63,0,18.63,5,0,20
6,1,0,3,22.11,0,22.11,6,0,20
7,3,0,0,11.65,0,11.65,7,0,20
8,3,0,1,15.65,0,15.65,8,0,20
9,4,0,0,13.76,0,13.76,9,0,20
10,4,0,1,13.8,0,13.8,10,0,20
11,2,0,2,23.05,0,23.05,11,0,20
12,5,0,0,5.05,0,5.05,12,0,20
13,3,0,2,16.36,0,16.36,13,0,20
14,5,0,1,6.3,0,6.3,14,0,20
15,3,0,3,19.28,0,19.28,15,0,20
16,4,0,2,19.79,0,19.79,16,0,20
17,6,0,0,11.75,0,11.75,17,0,20
18,6,0,1,13.87,0,13.87,18,0,20
19,5,0,2,10.53,0,10.53,19,0,20
20,6,0,2,16.1,0,16.1,20,0,20
21,5,0,3,9.75,0,9.75,21,0,20
22,6,0,3,17.34,0,17.34,22,0,20
23,1,0,4,22.72,0,22.72,23,0,20
24,4,0,3,22.36,0,22.36,24,0,20
25,5,0,4,6.44,0,6.44,25,0,20
26,6,0,4,11.36,0,11.36,26,0,20
27,3,0,4,7.97,0,7.97,27,0,20
