idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,6.5,0,6.5,0,0,20
2,1,0,1,17.3,0,17.3,0,0,20
3,1,0,2,10.92,0,10.92,0,0,20
4,1,0,3,10.79,0,10.79,0,0,20
5,1,0,4,13.54,0,13.54,0,0,20
6,5,0,0,9.19,0,9.19,0,0,20
7,5,0,1,15.87,0,15.87,0,0,20
8,2,0,0,21.96,0,21.96,0,0,20
9,3,0,0,12.17,0,12.17,0,0,20
10,6,0,0,8.54,0,8.54,0,0,20
11,5,0,2,6.86,0,6.86,0,0,20
12,3,0,1,18.79,0,18.79,0,0,20
13,4,0,0,22.94,0,22.94,0,0,20
14,5,0,3,6.6,0,6.6,0,1,20
15,3,0,2,12.57,0,12.57,0,0,20
16,2,0,1,9.17,0,9.17,1,0,20
17,4,0,1,9.68,0,9.68,2,0,20
18,6,0,1,10.62,0,10.62,3,0,20
19,3,0,3,21.59,0,21.59,4,0,20
20,2,0,2,11.89,0,11.89,5,0,20
21,6,0,2,14.34,0,14.34,6,0,20
22,6,0,3,17.35,0,17.35,7,0,20
23,6,0,4,22.35,0,22.35,8,0,20
24,4,0,2,11.56,0,11.56,9,0,20
25,4,0,3,10.18,0,10.18,10,0,20
26,5,0,4,5.68,0,5.68,11,0,20
27,4,0,4,14.72,0,14.72,12,0,20
