idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,5.17,0,5.17,0,0,20
2,5,0,0,16.46,0,16.46,0,0,20
3,4,0,2,8.93,0,8.93,0,1,20
4,4,0,1,8.07,0,8.07,0,1,20
5,5,0,1,20.15,0,20.15,0,0,20
6,4,0,3,15.34,0,15.34,0,1,20
7,5,0,2,23.61,0,23.61,0,1,20
8,4,0,4,18.12,0,18.12,1,0,20
9,1,0,0,20.25,0,20.25,2,0,20
10,2,0,0,12.79,0,12.79,3,0,20
11,2,0,1,17.43,0,17.43,4,0,20
12,2,0,2,17.93,0,17.93,5,0,20
13,3,0,0,19.34,0,19.34,6,0,20
14,6,0,0,18.66,0,18.66,7,0,20
15,6,0,1,17.5,0,17.5,8,0,20
16,5,0,3,23.8,0,23.8,9,0,20
17,6,0,2,11.13,0,11.13,10,0,20
18,6,0,3,13.43,0,13.43,11,0,20
19,6,0,4,8.02,0,8.02,12,0,20
20,3,0,1,14.01,0,14.01,13,0,20
