idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,1,13.43,0,13.43,0,1,20
2,4,0,2,18.22,0,18.22,0,1,20
3,4,0,3,20.37,0,20.37,0,1,20
4,4,0,4,23.36,0,23.36,0,1,20
5,4,0,0,8.96,0,8.96,0,0,20
6,1,0,0,22.78,0,22.78,1,0,20
7,2,0,0,7.84,0,7.84,2,0,20
8,2,0,1,10.86,0,10.86,3,0,20
9,3,0,0,8.08,0,8.08,4,0,20
10,2,0,2,15.18,0,15.18,5,0,20
11,3,0,1,12.21,0,12.21,6,0,20
12,3,0,2,13.69,0,13.69,7,0,20
13,2,0,3,16.96,0,16.96,8,0,20
14,2,0,4,22.3,0,22.3,9,0,20
15,5,0,0,11.32,0,11.32,10,0,20
16,3,0,3,17.51,0,17.51,11,0,20
17,6,0,0,11.3,0,11.3,12,0,20
18,3,0,4,21.44,0,21.44,13,0,20
19,6,0,1,5.38,0,5.38,14,0,20
20,6,0,2,9.98,0,9.98,15,0,20
21,5,0,1,21.45,0,21.45,16,0,20
22,6,0,3,9.08,0,9.08,17,0,20
23,5,0,2,20.71,0,20.71,18,0,20
24,6,0,4,6.24,0,6.24,19,0,20
25,5,0,3,15.55,0,15.55,20,0,20
26,5,0,4,12.02,0,12.02,21,0,20
27,1,0,1,7.49,0,7.49,22,0,20
