idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,7.4,0,7.4,0,0,20
2,4,0,0,7.35,0,7.35,0,0,20
3,4,0,3,9.94,0,9.94,0,1,20
4,4,0,1,10.01,0,10.01,0,0,20
5,4,0,2,8.2,0,8.2,0,0,20
6,1,0,0,5.5,0,5.5,1,0,20
7,2,0,1,18.49,0,18.49,2,0,20
8,2,0,2,22.46,0,22.46,3,0,20
9,1,0,1,12.11,0,12.11,4,0,20
10,3,0,0,7.59,0,7.59,5,0,20
11,2,0,3,22.59,0,22.59,6,0,20
12,3,0,1,11.01,0,11.01,7,0,20
13,5,0,0,5.85,0,5.85,8,0,20
14,1,0,2,18.22,0,18.22,9,0,20
15,1,0,3,19.14,0,19.14,10,0,20
16,5,0,1,7.69,0,7.69,11,0,20
17,2,0,4,23.69,0,23.69,12,0,20
18,3,0,2,12.28,0,12.28,13,0,20
19,5,0,2,9.75,0,9.75,14,0,20
20,3,0,3,13.14,0,13.14,15,0,20
21,3,0,4,16.08,0,16.08,16,0,20
22,4,0,4,18.94,0,18.94,17,0,20
23,1,0,4,21.06,0,21.06,18,0,20
24,5,0,3,21.87,0,21.87,19,0,20
25,6,0,0,5.71,0,5.71,20,0,20
26,6,0,1,17.91,0,17.91,21,0,20
27,6,0,2,11.72,0,11.72,22,0,20
