idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,18.14,0,18.14,0,0,20
2,2,0,1,17.3,0,17.3,0,0,20
3,1,0,0,6.14,0,6.14,0,0,20
4,3,0,0,6.38,0,6.38,0,1,20
5,3,0,1,15.34,0,15.34,0,1,20
6,1,0,1,13.49,0,13.49,1,0,20
7,2,0,2,19.0,0,19.0,2,0,20
8,3,0,2,15.77,0,15.77,3,0,20
9,4,0,0,11.13,0,11.13,4,0,20
10,2,0,3,19.93,0,19.93,5,0,20
11,2,0,4,21.89,0,21.89,6,0,20
12,3,0,3,22.02,0,22.02,7,0,20
13,5,0,0,10.02,0,10.02,8,0,20
14,1,0,2,14.39,0,14.39,9,0,20
15,3,0,4,22.67,0,22.67,10,0,20
16,6,0,0,8.07,0,8.07,11,0,20
17,4,0,1,11.59,0,11.59,12,0,20
18,6,0,1,9.64,0,9.64,13,0,20
19,1,0,3,15.76,0,15.76,14,0,20
20,1,0,4,22.57,0,22.57,15,0,20
21,4,0,2,18.71,0,18.71,16,0,20
22,6,0,2,8.33,0,8.33,17,0,20
23,5,0,1,14.99,0,14.99,18,0,20
24,4,0,3,19.33,0,19.33,19,0,20
25,6,0,3,12.78,0,12.78,20,0,20
26,4,0,4,21.79,0,21.79,21,0,20
27,5,0,2,14.42,0,14.42,22,0,20
