idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,17.64,0,17.64,0,0,20
2,2,0,0,6.26,0,6.26,0,0,20
3,2,0,1,12.66,0,12.66,0,1,20
4,5,0,2,22.1,0,22.1,0,1,20
5,6,0,0,8.82,0,8.82,0,0,20
6,5,0,1,19.59,0,19.59,0,0,20
7,6,0,2,9.86,0,9.86,0,1,20
8,6,0,4,17.83,0,17.83,0,1,20
9,6,0,3,14.36,0,14.36,0,1,20
10,6,0,1,8.26,0,8.26,0,0,20
11,1,0,0,11.0,0,11.0,1,0,20
12,2,0,2,17.06,0,17.06,2,0,20
13,3,0,0,5.95,0,5.95,3,0,20
14,1,0,1,15.24,0,15.24,4,0,20
15,3,0,1,9.87,0,9.87,5,0,20
16,4,0,0,6.67,0,6.67,6,0,20
17,4,0,1,7.44,0,7.44,7,0,20
18,2,0,3,19.46,0,19.46,8,0,20
19,4,0,2,7.45,0,7.45,9,0,20
20,4,0,3,6.03,0,6.03,10,0,20
21,1,0,2,22.04,0,22.04,11,0,20
22,5,0,3,23.55,0,23.55,12,0,20
23,2,0,4,21.81,0,21.81,13,0,20
24,1,0,3,23.46,0,23.46,14,0,20
25,3,0,2,19.21,0,19.21,15,0,20
26,4,0,4,9.49,0,9.49,16,0,20
27,3,0,3,5.38,0,5.38,17,0,20
